puzzle,score
88,0
89,0
90,3
91,0
92,0
93,1
94,0
95,0
96,1
97,3
98,1
99,1
100,0
101,0
102,0
103,4
104,2
105,0
106,0
109,3
110,4
111,0
112,2
113,1
114,0
115,0
117,0
118,1
119,4
120,0
121,3
122,0
123,1
124,0
125,3
126,0
127,0
128,0
129,0
130,4
131,1
132,3
133,0
134,4
135,0
136,0
137,0
138,0
139,0
140,0
141,1
142,0
143,0
144,0
145,0
146,0
147,0
151,1
152,0
153,1
156,0
158,0
159,0
160,0
161,0
162,0
163,0
164,1
165,0
166,4
,
168,0
169,0
170,0
171,1
172,1
173,1
174,0
175,0
176,0
177,0
178,1
179,1
180,1
181,0
182,0
183,0
184,0
185,0
186,0
187,1
188,0
189,0
190,1
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,1
199,0
200,0
201,4
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,2
210,1
211,1
213,2
214,0
215,0
216,3
217,2
,
,
220,2
221,1
,
,
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,2
234,0
235,0
236,0
237,0
238,0
239,0
240,2
