Time,Publisher,Date
11:03,New York Times,2022-12-20
06:07,Los Angeles Times,2022-12-20
08:46,Los Angeles Times,2022-12-21
21:52,New York Times,2022-12-21
14:22,New York Times,2022-12-22
15:43,Los Angeles Times,2022-12-22
18:39,Los Angeles Times,2022-12-23
21:41,New York Times,2022-12-23
08:33,New York Times,2022-12-26
07:17,Los Angeles Times,2022-12-26
07:23,New York Times,2022-12-27
10:27,Los Angeles Times,2022-12-27
12:25,New York Times,2022-12-28
07:27,Los Angeles Times,2022-12-28
17:30,New York Times,2022-12-29
20:34,Los Angeles Times,2022-12-29
07:31,Los Angeles Times,2022-12-30
29:13,New York Times,2023-01-01
05:58,Los Angeles Times,2023-01-02
05:00,New York Times,2023-01-02
17:20,New York Times,2022-12-31
36:36,New York Times,2022-12-24
14:05,Los Angeles Times,2022-12-31
10:05,Los Angeles Times,2023-01-03
12:52,New Yorker,2023-01-03
09:57,New Yorker,2022-12-28
05:24,New York Times,2023-01-03
15:33,New Yorker,2022-12-27
19:21,New Yorker,2022-12-26
07:42,New Yorker,2022-12-22
07:36,New Yorker,2022-12-30
09:34,New Yorker,2022-12-23
05:22,New Yorker,2022-12-15
04:58,New Yorker,2022-12-08
08:19,Los Angeles Times,2023-01-04
11:37,New York Times,2023-01-04
35:58,New York Times,2022-08-21
07:12,New Yorker,2023-01-04
32:39,New Yorker,2022-12-19
14:39,Los Angeles Times,2022-12-24
38:24,New York Times,2023-01-05
10:27,Los Angeles Times,2023-01-05
05:16,New Yorker,2023-01-05
25:34,New York Times,2023-01-06
22:02,New Yorker,2023-01-06
17:20,Los Angeles Times,2023-01-06
17:06,Los Angeles Times,2023-01-07
18:27,New York Times,2023-01-07
60:52,New York Times,2023-01-08
64:53,New Yorker,2023-01-02
38:08,Los Angeles Times,2023-01-08
07:57,New Yorker,2022-12-21
16:56,New Yorker,2022-12-20
04:31,New Yorker,2022-12-01
09:42,New Yorker,2022-10-07
20:37,New Yorker,2022-11-28
22:33,Los Angeles Times,2023-01-01
06:14,Los Angeles Times,2023-01-09
04:53,New Yorker,2022-11-17
05:46,New York Times,2023-01-09
07:22,New York Times,2023-01-10
08:45,Los Angeles Times,2023-01-10
14:56,New Yorker,2023-01-10
22:01,New Yorker,2023-01-09
08:12,Los Angeles Times,2023-01-11
26:56,New York Times,2023-01-11
17:33,Los Angeles Times,2023-01-12
14:21,New York Times,2023-01-12
05:14,New Yorker,2023-01-12
47:55,New York Times,2023-01-13
21:49,Los Angeles Times,2023-01-13
18:15,Los Angeles Times,2023-01-14
41:20,New York Times,2023-01-15
27:26,Los Angeles Times,2023-01-15
05:46,Los Angeles Times,2023-01-16
05:13,New York Times,2023-01-16
07:28,Los Angeles Times,2023-01-17
07:26,New York Times,2023-01-18
38:44,New Yorker,2023-01-16
12:25,New Yorker,2023-01-17
07:52,Los Angeles Times,2023-01-18
06:50,New York Times,2023-01-18
12:34,New Yorker,2023-01-18
17:37,Los Angeles Times,2023-01-19
19:01,New York Times,2023-01-19
05:52,New Yorker,2023-01-19
09:37,New Yorker,2023-01-20
17:47,Los Angeles Times,2023-01-20
13:16,New York Times,2023-01-20
31:49,Los Angeles Times,2023-01-21
34:35,New York Times,2023-01-21
47:28,New York Times,2023-01-22
24:05,Los Angeles Times,2023-01-22
08:40,Los Angeles Times,2023-01-23
07:49,New York Times,2023-01-23
37:05,New Yorker,2023-01-23
12:20,Los Angeles Times,2023-01-24
07:08,New York Times,2023-01-24
54:32,New York Times,2023-01-27
16:29,New Yorker,2023-01-24
08:05,Los Angeles Times,2023-01-25
12:54,New York Times,2023-01-25
13:47,New Yorker,2023-01-25
12:32,Los Angeles Times,2023-01-26
08:59,New Yorker,2023-01-26
21:47,New York Times,2023-01-26
05:24,Los Angeles Times,2023-01-30
06:38,New York Times,2023-01-30
07:14,New York Times,2023-01-31
07:38,Los Angeles Times,2023-01-31
11:36,New Yorker,2023-01-27
08:08,Los Angeles Times,2023-02-01
13:55,New Yorker,2023-02-01
17:35,New York Times,2023-02-01
10:44,Los Angeles Times,2023-02-02
21:52,New York Times,2023-02-04
06:42,New York Times,2023-02-06
07:32,Los Angeles Times,2023-02-06
06:11,New Yorker,2023-02-02
07:26,New York Times,2023-02-07
07:51,Los Angeles Times,2023-02-07
17:11,New York Times,2023-02-03
13:37,New York Times,2023-02-08
09:46,Los Angeles Times,2023-02-08
17:21,New York Times,2023-02-09
17:12,Los Angeles Times,2023-02-09
08:12,New Yorker,2023-02-09
20:36,New Yorker,2023-02-08
29:12,Los Angeles Times,2023-02-10
28:48,New York Times,2023-02-10
06:26,Los Angeles Times,2023-02-13
05:09,New York Times,2023-02-13
10:26,Los Angeles Times,2023-02-14
49:58,New Yorker,2023-02-13
13:34,New Yorker,2023-02-14
06:12,New York Times,2023-02-14
09:50,Los Angeles Times,2023-02-15
12:20,New Yorker,2023-02-15
12:05,New York Times,2023-02-15
19:11,Wall Street Journal,2023-02-15
23:51,New York Times,2023-02-16
19:08,Wall Street Journal,2023-02-16
10:20,Los Angeles Times,2023-02-16
07:13,New Yorker,2023-02-16
24:08,Los Angeles Times,2023-02-17
10:14,New Yorker,2023-02-17
46:42,Wall Street Journal,2023-02-18
04:55,New York Times,2023-02-20
07:40,Los Angeles Times,2023-02-20
20:16,New Yorker,2023-02-20
15:53,New Yorker,2023-02-21
10:29,New York Times,2023-02-21
07:24,Los Angeles Times,2023-02-21
08:13,Los Angeles Times,2023-02-22
07:17,New York Times,2023-02-22
11:29,Wall Street Journal,2023-02-22
11:09,New Yorker,2023-02-22
06:26,New Yorker,2023-02-23
20:19,New York Times,2023-02-23
14:48,Wall Street Journal,2023-02-23
19:29,New York Times,2023-02-24
06:34,New Yorker,2023-02-24
12:45,Wall Street Journal,2023-02-24
56:25,New York Times,2023-02-25
20:48,Los Angeles Times,2023-02-25
06:18,Los Angeles Times,2023-02-27
04:47,New York Times,2023-02-27
34:25,Wall Street Journal,2023-02-25
